output_base,sample_name,fastq_base,index,sample,lane,tag_mm,constant_mm,output_dir,read1_path,read2_path
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,A1,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D702,S2,L001,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/A1,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D702_S2_L001_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D702_S2_L001_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,A2,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D703,S3,L001,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/A2,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D703_S3_L001_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D703_S3_L001_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,A3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D704,S4,L004,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/A3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D704_S4_L004_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D704_S4_L004_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,A4,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D705,S5,L004,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/A4,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D705_S5_L004_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D705_S5_L004_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,A5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D706,S6,L004,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/A5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D706_S6_L004_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D706_S6_L004_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,A6,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D707,S7,L004,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/A6,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D707_S7_L004_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D707_S7_L004_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,A7,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D708,S8,L004,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/A7,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D708_S8_L004_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D708_S8_L004_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,A8,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D709,S9,L004,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/A8,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D709_S9_L004_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D709_S9_L004_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,B1,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D702,S2,L006,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/B1,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D702_S2_L006_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D702_S2_L006_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,B2,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D703,S3,L006,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/B2,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D703_S3_L006_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D703_S3_L006_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,B3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D704,S4,L006,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/B3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D704_S4_L006_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D704_S4_L006_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,B4,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D705,S5,L006,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/B4,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D705_S5_L006_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D705_S5_L006_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,C1,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D706,S6,L007,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/C1,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D706_S6_L007_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D706_S6_L007_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,C2,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D707,S7,L007,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/C2,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D707_S7_L007_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D707_S7_L007_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,C3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D708,S8,L006,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/C3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D708_S8_L006_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D708_S8_L006_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,C4,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D709,S9,L008,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/C4,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D709_S9_L008_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D709_S9_L008_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,D1,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D702,S2,L003,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/D1,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D702_S2_L003_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D702_S2_L003_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,D2,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D703,S3,L003,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/D2,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D703_S3_L003_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D703_S3_L003_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,D3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D704,S4,L003,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/D3,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D704_S4_L003_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D704_S4_L003_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,D4,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D705,S5,L008,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/D4,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D705_S5_L008_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D705_S5_L008_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,D5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D706,S6,L006,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/D5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D706_S6_L006_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D706_S6_L006_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,D6,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D707,S7,L005,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/D6,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D707_S7_L005_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D707_S7_L005_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,D7,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D708,S8,L005,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/D7,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D708_S8_L005_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D708_S8_L005_R2_001.fastq.gz
/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2,D8,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX,D709,S9,L005,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/bulk/dialout2/D8,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D709_S9_L005_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240301_A22HV5GLT3_NovaSeqX/D709_S9_L005_R2_001.fastq.gz