output_base,sample_name,fastq_base,index,sample,lane,puck,tag_mm,constant_mm,output_dir,read1_path,read2_path,puck_path
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_01,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D701,S1,L001,230612_10,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_01,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D701_S1_L001_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D701_S1_L001_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_10
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_02,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D702,S2,L001,231201_26,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_02,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D702_S2_L001_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D702_S2_L001_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_231201_26
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_03,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D701,S1,L002,230612_12,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_03,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D701_S1_L002_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D701_S1_L002_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_12
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_04,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D702,S2,L002,230612_14,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_04,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D702_S2_L002_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D702_S2_L002_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_14
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_05,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D703,S3,L001,230612_15,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_05,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D703_S3_L001_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D703_S3_L001_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_15
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_06,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D704,S4,L002,230612_16,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_06,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D704_S4_L002_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D704_S4_L002_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_16
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_07,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D705,S5,L001,230612_17,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_07,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D705_S5_L001_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D705_S5_L001_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_17
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_08,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D706,S6,L002,230612_18,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_08,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D706_S6_L002_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D706_S6_L002_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_18
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_09,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D707,S7,L001,230612_19,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_09,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D707_S7_L001_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D707_S7_L001_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_19
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_10,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D708,S8,L002,230612_20,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_10,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D708_S8_L002_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D708_S8_L002_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_20
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_11,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D709,S9,L001,230612_21,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_11,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D709_S9_L001_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D709_S9_L001_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_21
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_15,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D701,S1,L003,230612_27,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_15,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D701_S1_L003_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D701_S1_L003_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_27
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_16,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D702,S2,L003,230612_28,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_16,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D702_S2_L003_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D702_S2_L003_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_230612_28
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_17,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D703,S3,L002,231201_19,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_17,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D703_S3_L002_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D703_S3_L002_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_231201_19
/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout,STR_18,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX,D704,S4,L003,231201_20,5,5,/broad/macosko/mkim/SynapseSeq/240215_Goofy/slide/dialout/STR_18,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D704_S4_L003_R1_001.fastq.gz,/broad/macosko/mkim/SynapseSeq/240215_Goofy/fastqs/240213_A22JGCMLT3_NovaSeqX/D704_S4_L003_R2_001.fastq.gz,/broad/chen_imaging/Slide-seq/Barcodes/Puck_231201_20
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,